11237,40.703355,-73.91993,Bushwick and Williamsburg
11238,40.680145,-73.96257,Central Brooklyn
11239,40.645848,-73.87919,Canarsie and Flatlands
11354,40.767969,-73.82496,North Queens
11355,40.749463,-73.81941,North Queens
11356,40.785462,-73.84366,North Queens
11357,40.784453,-73.80922,North Queens
11358,40.760522,-73.79612,North Queens
11359,40.79278,-73.7767,North Queens
11360,40.780386,-73.78005,North Queens
11361,40.763177,-73.77392,Northeast Queens
11362,40.759686,-73.73322,Northeast Queens
11363,40.772636,-73.74644,Northeast Queens
11364,40.746718,-73.75994,Northeast Queens
11365,40.738983,-73.79209,Central Queens
11366,40.726137,-73.79502,Central Queens
11367,40.728614,-73.82145,Central Queens
11368,40.747106,-73.85838,West Queens
11369,40.762854,-73.87051,West Queens
11370,40.763015,-73.89052,West Queens
11372,40.750146,-73.88433,West Queens
11373,40.736076,-73.87804,West Queens
11374,40.724945,-73.8609,West Central Queens
11375,40.720535,-73.84582,West Central Queens
11377,40.742869,-73.90377,West Queens
11378,40.724096,-73.90271,West Queens
11379,40.716028,-73.87925,West Central Queens
11385,40.703069,-73.89285,West Central Queens
11411,40.693538,-73.73574,Southeast Queens
11412,40.697188,-73.75948,Jamaica
11413,40.670138,-73.75141,Southeast Queens
11414,40.658188,-73.84321,Southwest Queens
11415,40.706903,-73.82973,Southwest Queens
11416,40.683301,-73.8503,Southwest Queens
11417,40.675534,-73.84476,Southwest Queens
11418,40.698485,-73.83365,Southwest Queens
11419,40.688688,-73.82216,Southwest Queens
11420,40.673138,-73.81443,Southwest Queens
11421,40.69087,-73.85828,Southwest Queens
11422,40.662538,-73.73514,Southeast Queens
11423,40.714261,-73.76824,Jamaica
11426,40.732239,-73.72108,Southeast Queens
11427,40.728235,-73.74782,Southeast Queens
11428,40.719981,-73.74127,Southeast Queens
11429,40.708833,-73.73903,Southeast Queens
11432,40.714144,-73.79324,Jamaica
11433,40.696538,-73.78734,Jamaica
11434,40.674888,-73.7727,Jamaica
11435,40.700068,-73.80986,Jamaica
11436,40.674146,-73.79687,Jamaica
11691,40.60002,-73.75962,Rockaways
11692,40.592939,-73.79568,Rockaways
11693,40.596959,-73.81978,Rockaways
11694,40.57649,-73.84721,Rockaways
11695,40.651378,-73.87077,Rockaways
11697,40.560167,-73.90891,Rockaways
